Postavka;leto;zavarovalnica;Segment;Znesek;Segment_slo;Segment_ang;Segment_num;kratica
CR;2019;Generali;C0050;1,085823129;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2019;Generali;C0070;0,900961773;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2019;Generali;C0080;0,812555523;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2019;Generali;C0110;0,956207892;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2019;Grawe;C0040;3233;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2019;Grawe;C0050;2793;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2019;Grawe;C0070;3425;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2019;Grawe;C0080;309;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2019;Grawe;C0110;559;Zavarovanje pomoči;assistance;8;ZP
CR;2019;Grawe;C0040;1,164862357;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2019;Grawe;C0050;1,720730397;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2019;Grawe;C0070;0,821605839;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2019;Grawe;C0080;0,783171521;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2019;Grawe;C0110;1,033989267;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2019;Sava Re;C0040;13759;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2019;Sava Re;C0050;16755;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2019;Sava Re;C0070;47603;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2019;Sava Re;C0080;6656;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2019;Sava Re;C0110;0;Zavarovanje pomoči;assistance;8;ZP
CR;2019;Sava Re;C0040;0,702231267;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2019;Sava Re;C0050;0,696389138;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2019;Sava Re;C0070;1,030544293;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2019;Sava Re;C0080;0,848407452;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2019;Sava Re;C0110;0;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2019;Triglav Re;C0040;13529;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2019;Triglav Re;C0050;5406;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2019;Triglav Re;C0070;50924;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2019;Triglav Re;C0080;1693;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2019;Triglav Re;C0110;1130;Zavarovanje pomoči;assistance;8;ZP
